Product,,Reviewer_Name,Reviewer_Location,Review,Review_Date,Review_Time,Rating,good_review,cleaned_reviews,neg,neu,pos,compound,day_of_week,review_hour
3-D Knit Face Mask,0,Katie,"Fishers, IN",This mask has a wire at the nose for a good fit and my guys really liked the design and comfort. They fit well on my 16 yr old son and my husband.,2020-07-10,14:15:35,5.0,1,mask wire nose good fit guy really like design comfort fit well yr old son husband,0.0,0.391,0.609,0.9268,4,14
3-D Knit Face Mask,1,JD,"Cocoa, FL","Good size, washable is a plus. I like the carbon filter feature.  Replacements can be bought elsewhere or use a small coffee filter.",2020-07-31,15:26:14,5.0,1,good size washable plus like carbon filter feature replacement buy elsewhere use small coffee filter,0.0,0.707,0.293,0.6597,4,15
3-D Knit Face Mask,2,Steph in Plymouth,"Plymouth, MN","I love that this mask fits nice and snug on the sides of my face, which is narrow. I have had a heck of a time finding a more fitted mask for my small face. The fabric is really soft and I appreciate the adjustable nose piece and filter. Can't go wrong with the colors, as they go with everything. I keep this in my car so I never forget it when I have to run inside a store.",2020-07-10,13:07:13,4.0,1,love mask fit nice snug side face narrow heck time find fit mask small face fabric really soft appreciate adjustable nose piece filter can't go wrong color go everything keep car never forget run inside store,0.0,0.602,0.398,0.9531,4,13
3-D Knit Face Mask,3,babashopper,Illinois,"These are the best everyday/everywhere masks---simple, seamless, comfortable, and knit (molded) to perfection. These are made sans elastic ear loops, the annoying weak point of most face masks. I bought both the black and the gray and would probably buy  other colors if they became available. Yes, they're a bit pricey, but I think that the quality warrants the somewhat higher price.",2020-07-04,10:54:14,5.0,1,best everyday/everywhere masks---simple seamless comfortable knit mold perfection make sans elastic ear loop annoy weak point face mask buy black gray would probably buy color become available yes they're bit pricey think quality warrant somewhat high price,0.114,0.611,0.274,0.8442,5,10
3-D Knit Face Mask,4,Marcie,"Fairfax, VA","I ordered the gray mask. Everything about the design, materials, and structure/construction is excellent. It's comfortable and yet fits very well. It's excellent for its intended use of protection against the novel coronavirus. It works so well that I wouldn't recommend trying to wear it while exercising. However, you could leave out the filter and perhaps use it during mild, limited exercise.",2020-07-12,16:34:43,5.0,1,ordered gray mask everything design material structure/construction excellent comfortable yet fit well excellent intend use protection novel coronavirus work well recommend try wear exercise however could leave filter perhaps use mild limited exercise,0.064,0.476,0.46,0.959,6,16
Baseball Park Map Glasses - Set of 2,5,Edog,Colorado,Dad was excited to have his drink in it that night,2020-07-18,19:42:09,5.0,1,dad excite drink night,0.0,0.492,0.508,0.4767,5,19
Baseball Park Map Glasses - Set of 2,6,TAU22,Wisconsin,I bought these glasses for my fiancÃ© so he would have his own set of drink glasses and he absolutely loved them! I have all the wine glasses in the world and now he has his own set of drink glasses!  #sweepstakes,2020-07-18,01:53:50,5.0,1,buy glass fiancã© would set drink glass absolutely love wine glass world set drink glass sweepstakes,0.0,0.77,0.23,0.6697,5,1
Baseball Park Map Glasses - Set of 2,7,Dad's firstborn,CT,Perfect gift ideas for the sports fan in your life.,2020-07-20,15:01:41,5.0,1,perfect gift idea sport fan life,0.0,0.252,0.748,0.836,0,15
Baseball Park Map Glasses - Set of 2,8,Jule,"Plattsburgh, NY","He wants to use these for everyday - juice, etc. and they also look great on our bar.",2020-07-21,10:06:59,5.0,1,want use everyday juice etc also look great bar,0.0,0.565,0.435,0.6597,1,10
Baseball Park Map Glasses - Set of 2,9,Jimmy,Philadelphia,"My dad said he'd use it while relaxing on the couch watching a game, or bring them out for company and use a conversation starter. He'd display them when not using. He loved the design and detail and thought they were really fun glasses.",2020-07-21,11:37:15,4.7,1,dad say he'd use relax couch watching game bring company use conversation starter he'd display use loved design detail think really fun glass,0.0,0.658,0.342,0.8858,1,11
Baseball Park Map Glasses - Set of 2,10,Eshalla,"Washington, DC",I got these glasses for my boyfriend's birthday. He's a huge Nationals fan and it was really disappointing for him not to be able to go to games in person this year. I gave these to him as part of a bunch of gifts. We use these pretty much every night!,2020-07-28,00:08:18,4.9,1,get glass boyfriend's birthday he's huge national fan really disappointing able go game person year give part bunch gift use pretty much every night,0.105,0.572,0.322,0.7357,1,0
Baseball Park Map Glasses - Set of 2,11,Dan L,"Boca Raton, FL",I love the classic look of these glasses and the design and ode to my beloved Boston Red Sox.,2020-07-30,10:53:32,4.5,1,love classic look glass design ode beloved boston red sox,0.0,0.516,0.484,0.8176,3,10
Baseball Park Map Glasses - Set of 2,12,CaraO,"Walbridge, OH","I purchased these glasses as a birthday gift for my boyfriend, who is from Cleveland and a HUGE Indians fan.  He has been so bummed that this season has been affected by Covid.  We should be going to our first game together as a couple and now we can't!  He absolutely loved these glasses.  Not only can he enjoy a drink while rooting for his favorite team, but the map gives him a sense of nostalgia for his hometown.",2020-08-01,14:29:27,4.8,1,purchase glass birthday gift boyfriend cleveland huge indian fan bum season affect covid go first game together couple can't absolutely love glass enjoy drink root favorite team map give sense nostalgia hometown,0.082,0.597,0.321,0.8548,5,14
Baseball Park Map Glasses - Set of 2,13,Jen,"Fort Collins, CO","My Dad has been to every Brewer's Opening Day for over 20 years.  It probably is a lot longer than that but he was at the 1st Opening Day of Miller Park.  I can't wait to give him a glass.  He does like his mixed drinks.  I live in Fort Collins, CO and have not been home since February.  I want to give it to him in person but I don't know when I will be able to get home because of COVID-19.  If all else fails I will mail it for Christmas.",2020-08-01,00:14:04,4.3,1,dad every brewer's open day year probably lot longer opening day miller park can't wait give glass like mixed drink live fort collins co home since february want give person know able get home else fail mail christmas,0.083,0.827,0.09,-0.1779,5,0
Baseball Park Map Glasses - Set of 2,14,BB,"Baltimore, MD",Mt brother's girlfriend loved these - gave her a little taste of baseball when there was no baseball@!,2020-07-31,18:28:08,5.0,1,mt brother's girlfriend love give little taste baseball baseball,0.0,0.656,0.344,0.6369,4,18
